# The verification lens: which station of a request each requirement of the
# checked-in standard applies to. One row per requirement id, TAB separated:
#
#   <requirement id><TAB><station>[,<station>...]
#
# Stations: admission, evidence, resolution, authority, scope, effect.
# "none" means the requirement is not a question about one request's path through
# the system - a documentation obligation, a dependency-currency rule or a
# deployment property - and no station is asked it.
#
# The classification is authored per SECTION of the standard and written out per
# id, because the id is what an answer cites and what a version bump moves. Every
# id in the checked-in export must appear here or the lens refuses to load, and
# the row count is checked against the declared count at build time.
#
# This table holds ids and classifications only. Requirement text lives in the
# ingested export and is never reproduced here - see NOTICE for the attribution
# that text carries.
V1.1.1	admission,effect
V1.1.2	admission,effect
V1.2.1	admission,effect
V1.2.2	admission,effect
V1.2.3	admission,effect
V1.2.4	admission,effect
V1.2.5	admission,effect
V1.2.6	admission,effect
V1.2.7	admission,effect
V1.2.8	admission,effect
V1.2.9	admission,effect
V1.2.10	admission,effect
V1.3.1	admission
V1.3.2	admission
V1.3.3	admission
V1.3.4	admission
V1.3.5	admission
V1.3.6	admission
V1.3.7	admission
V1.3.8	admission
V1.3.9	admission
V1.3.10	admission
V1.3.11	admission
V1.3.12	admission
V1.4.1	admission
V1.4.2	admission
V1.4.3	admission
V1.5.1	admission
V1.5.2	admission
V1.5.3	admission
V2.1.1	none
V2.1.2	none
V2.1.3	none
V2.2.1	admission
V2.2.2	admission
V2.2.3	admission
V2.3.1	effect
V2.3.2	effect
V2.3.3	effect
V2.3.4	effect
V2.3.5	effect
V2.4.1	admission
V2.4.2	admission
V3.1.1	none
V3.2.1	effect
V3.2.2	effect
V3.2.3	effect
V3.3.1	evidence
V3.3.2	evidence
V3.3.3	evidence
V3.3.4	evidence
V3.3.5	evidence
V3.4.1	effect
V3.4.2	effect
V3.4.3	effect
V3.4.4	effect
V3.4.5	effect
V3.4.6	effect
V3.4.7	effect
V3.4.8	effect
V3.5.1	admission
V3.5.2	admission
V3.5.3	admission
V3.5.4	admission
V3.5.5	admission
V3.5.6	admission
V3.5.7	admission
V3.5.8	admission
V3.6.1	effect
V3.7.1	effect
V3.7.2	effect
V3.7.3	effect
V3.7.4	effect
V3.7.5	effect
V4.1.1	admission
V4.1.2	admission
V4.1.3	admission
V4.1.4	admission
V4.1.5	admission
V4.2.1	admission
V4.2.2	admission
V4.2.3	admission
V4.2.4	admission
V4.2.5	admission
V4.3.1	admission
V4.3.2	admission
V4.4.1	admission,evidence
V4.4.2	admission,evidence
V4.4.3	admission,evidence
V4.4.4	admission,evidence
V5.1.1	none
V5.2.1	admission
V5.2.2	admission
V5.2.3	admission
V5.2.4	admission
V5.2.5	admission
V5.2.6	admission
V5.3.1	effect
V5.3.2	effect
V5.3.3	effect
V5.4.1	scope,effect
V5.4.2	scope,effect
V5.4.3	scope,effect
V6.1.1	none
V6.1.2	none
V6.1.3	none
V6.2.1	evidence
V6.2.2	evidence
V6.2.3	evidence
V6.2.4	evidence
V6.2.5	evidence
V6.2.6	evidence
V6.2.7	evidence
V6.2.8	evidence
V6.2.9	evidence
V6.2.10	evidence
V6.2.11	evidence
V6.2.12	evidence
V6.3.1	evidence
V6.3.2	evidence
V6.3.3	evidence
V6.3.4	evidence
V6.3.5	evidence
V6.3.6	evidence
V6.3.7	evidence
V6.3.8	evidence
V6.4.1	evidence
V6.4.2	evidence
V6.4.3	evidence
V6.4.4	evidence
V6.4.5	evidence
V6.4.6	evidence
V6.5.1	evidence
V6.5.2	evidence
V6.5.3	evidence
V6.5.4	evidence
V6.5.5	evidence
V6.5.6	evidence
V6.5.7	evidence
V6.5.8	evidence
V6.6.1	evidence
V6.6.2	evidence
V6.6.3	evidence
V6.6.4	evidence
V6.7.1	evidence
V6.7.2	evidence
V6.8.1	evidence,resolution
V6.8.2	evidence,resolution
V6.8.3	evidence,resolution
V6.8.4	evidence,resolution
V7.1.1	none
V7.1.2	none
V7.1.3	none
V7.2.1	evidence,resolution
V7.2.2	evidence,resolution
V7.2.3	evidence,resolution
V7.2.4	evidence,resolution
V7.3.1	resolution
V7.3.2	resolution
V7.4.1	resolution
V7.4.2	resolution
V7.4.3	resolution
V7.4.4	resolution
V7.4.5	resolution
V7.5.1	resolution
V7.5.2	resolution
V7.5.3	resolution
V7.6.1	resolution
V7.6.2	resolution
V8.1.1	none
V8.1.2	none
V8.1.3	none
V8.1.4	none
V8.2.1	authority,scope
V8.2.2	authority,scope
V8.2.3	authority,scope
V8.2.4	authority,scope
V8.3.1	authority
V8.3.2	authority
V8.3.3	authority
V8.4.1	authority,scope
V8.4.2	authority,scope
V9.1.1	resolution
V9.1.2	resolution
V9.1.3	resolution
V9.2.1	resolution,authority
V9.2.2	resolution,authority
V9.2.3	resolution,authority
V9.2.4	resolution,authority
V10.1.1	evidence,resolution
V10.1.2	evidence,resolution
V10.2.1	evidence
V10.2.2	evidence
V10.2.3	evidence
V10.3.1	resolution,authority
V10.3.2	resolution,authority
V10.3.3	resolution,authority
V10.3.4	resolution,authority
V10.3.5	resolution,authority
V10.4.1	evidence,authority
V10.4.2	evidence,authority
V10.4.3	evidence,authority
V10.4.4	evidence,authority
V10.4.5	evidence,authority
V10.4.6	evidence,authority
V10.4.7	evidence,authority
V10.4.8	evidence,authority
V10.4.9	evidence,authority
V10.4.10	evidence,authority
V10.4.11	evidence,authority
V10.4.12	evidence,authority
V10.4.13	evidence,authority
V10.4.14	evidence,authority
V10.4.15	evidence,authority
V10.4.16	evidence,authority
V10.5.1	resolution
V10.5.2	resolution
V10.5.3	resolution
V10.5.4	resolution
V10.5.5	resolution
V10.6.1	resolution
V10.6.2	resolution
V10.7.1	authority
V10.7.2	authority
V10.7.3	authority
V11.1.1	none
V11.1.2	none
V11.1.3	none
V11.1.4	none
V11.2.1	effect
V11.2.2	effect
V11.2.3	effect
V11.2.4	effect
V11.2.5	effect
V11.3.1	effect
V11.3.2	effect
V11.3.3	effect
V11.3.4	effect
V11.3.5	effect
V11.4.1	effect
V11.4.2	effect
V11.4.3	effect
V11.4.4	effect
V11.5.1	evidence
V11.5.2	evidence
V11.6.1	effect
V11.6.2	effect
V11.7.1	effect
V11.7.2	effect
V12.1.1	admission
V12.1.2	admission
V12.1.3	admission
V12.1.4	admission
V12.1.5	admission
V12.2.1	admission
V12.2.2	admission
V12.3.1	admission,evidence
V12.3.2	admission,evidence
V12.3.3	admission,evidence
V12.3.4	admission,evidence
V12.3.5	admission,evidence
V13.1.1	none
V13.1.2	none
V13.1.3	none
V13.1.4	none
V13.2.1	admission,evidence
V13.2.2	admission,evidence
V13.2.3	admission,evidence
V13.2.4	admission,evidence
V13.2.5	admission,evidence
V13.2.6	admission,evidence
V13.3.1	evidence
V13.3.2	evidence
V13.3.3	evidence
V13.3.4	evidence
V13.4.1	effect
V13.4.2	effect
V13.4.3	effect
V13.4.4	effect
V13.4.5	effect
V13.4.6	effect
V13.4.7	effect
V14.1.1	none
V14.1.2	none
V14.2.1	scope,effect
V14.2.2	scope,effect
V14.2.3	scope,effect
V14.2.4	scope,effect
V14.2.5	scope,effect
